URL,contributor,label,excerpt
hyvr-README.md,Sharad,Data Preparation,"The Hydrogeological Virtual Reality simulation package (HyVR) is a Python module that helps researchers and practitioners generate subsurface models with multiple scales of heterogeneity that are based on geological concepts.
HyVR is able to simulate these bedding parameters and generate spatially distributed parameter fields, including full hydraulic-conductivity tensors."
integral-human-pose-README.md,Sharad,Data Preparation,"We build a 3D pose estimation system based mainly on the Integral Regression, placing second in the ECCV2018 3D Human Pose Estimation Challenge."
ipyleaflet-README.md,Yi Xie,Data Visualization,Selecting a basemap for a leaflet map:Loading a geojson map:Making use of leafletjs primitives:Using the splitmap control:Displaying velocity data on the top of a map:Choropleth layer:
iter-reason-README.md,Yi Xie,Data Preparation,"The available reasoning module is based on convolutions and spatial memory.For simplicity, the released code uses the tensorflow default crop_and_resize operation, rather than the customized one reported in the paper (I find the default one is actually better by ~1%)."
kosmtik-README.md,Yi Xie,Data Visualization,"Very lite but extendable mapping framework to create Mapnik ready maps with OpenStreetMap data (and more).For now, only Carto based projects are supported (with .mml or .yml config), but in the future we hope to plug in MapCSS too."
lasio-README.md,Yi Xie,Data Preparation,"This is a Python 2.7 and 3.3+ package to read and write Log ASCII Standard (LAS) files, used for borehole data such as geophysical, geological, or petrophysical logs. It's compatible with versions 1.2 and 2.0 of the LAS file specification, published by the Canadian Well Logging Society. Support for LAS 3 is being worked on. In principle it is designed to read as many types of LAS files as possible, including ones containing common errors or non-compliant formatting."
map-vectorizer-README.md,Yi Xie,Data Visualization,"This project aims to automate the manual process of geographic polygon and attribute data extraction from maps (i.e. georectified images) including those from insurance atlases published in the 19th and early 20th centuries. Here is some background on why we're doing this and here is one of the maps we're extracting polygons from. This example map layer shows what these atlases look like once geo-rectified, i.e. geographically normalized.The New York Public Library has hundreds of atlases with tens of thousands of these sheets and there is no way we can extract data manually in a reasonable amount of time.The New York Public Library has hundreds of atlases with tens of thousands of these sheets and there is no way we can extract data manually in a reasonable amount of time.Just so you get an idea, it took NYPL staff coordinating a small army of volunteers three years to produce 170,000 polygons with attributes (from just four of hundreds of atlases at NYPL).Just so you get an idea, it took NYPL staff coordinating a small army of volunteers three years to produce 170,000 polygons with attributes (from just four of hundreds of atlases at NYPL)."
mapshaper-README.md,Yi Xie,Data Visualization,"Mapshaper is software for editing Shapefile, GeoJSON, TopoJSON, CSV and several other data formats, written in JavaScript.The mapshaper command line program supports essential map making tasks like simplifying shapes, editing attribute data, clipping, erasing, dissolving, filtering and more.The web UI supports interactive simplification, attribute data editing, and running cli commands in a built-in console. Visit the public website at www.mapshaper.org or use the web UI locally via the mapshaper-gui script."
microsoft-malmo-README.md,Yi Xie,Data Preparation,"MalmoEnv implements an Open AI ""gym""-like environment in Python without any native code (communicating directly with Java Minecraft). If you only need this functionallity then please see MalmoEnv. This will most likely be the preferred way to develop with Malmo Minecraft going forward."
mplleaflet-README.md,Yi Xie,Data Visualization,"mplleaflet is a Python library that converts a matplotlib plot into a webpage containing a pannable, zoomable Leaflet map. It can also embed the Leaflet map in an IPython notebook. The goal of mplleaflet is to enable use of Python and matplotlib for visualizing geographic data on slippy maps without having to write any Javascript or HTML. You also don't need to worry about choosing the base map content i.e., coastlines, roads, etc. Only one line of code is needed to convert a plot into a web map. mplleaflet.show()"
mplstereonet-README.md,Yi Xie,Data Visualization,mplstereonet provides lower-hemisphere equal-area and equal-angle stereonets for matplotlib.
neural-motifs-README.md,Yi Xie,Data Analysis,"This repository contains data and code for the paper Neural Motifs: Scene Graph Parsing with Global Context (CVPR 2018) For the project page (as well as links to the baseline checkpoints), check out rowanzellers.com/neuralmotifs. If the paper significantly inspires you, we request that you cite our work:"
neural_renderer-README.md,Yi Xie,Data Visualization,"This is code for the paper Neural 3D Mesh Renderer by Hiroharu Kato, Yoshitaka Ushiku, and Tatsuya Harada."
nextflow-io-nextflow-README.md,Yi Xie,Data Analysis,"With the rise of big data, techniques to analyse and run experiments on large datasets are increasingly necessary. Parallelization and distributed computing are the best ways to tackle this problem, but the tools commonly available to the bioinformatics community often lack good support for these techniques, or provide a model that fits badly with the specific requirements in the bioinformatics domain and, most of the time, require the knowledge of complex tools or low-level APIs. Nextflow framework is based on the dataflow programming model, which greatly simplifies writing parallel and distributed pipelines without adding unnecessary complexity and letting you concentrate on the flow of data, i.e. the functional logic of the application/algorithm. It doesn't aim to be another pipeline scripting language yet, but it is built around the idea that the Linux platform is the lingua franca of data science, since it provides many simple command line and scripting tools, which by themselves are powerful, but when chained together facilitate complex data manipulations. In practice, this means that a Nextflow script is defined by composing many different processes. Each process can execute a given bioinformatics tool or scripting language, to which is added the ability to coordinate and synchronize the processes execution by simply specifying their inputs and outputs.

"
node-qa-masker-README.md,Yi Xie,Data Preparation,"This is a NodeJS port of pymasker. It provides a convenient way to produce masks from the Quality Assessment band of Landsat 8 OLI images, as well as MODIS land products."
omfvista-README.md,Yi Xie,Data Visualization,A PyVista (and VTK) interface for the Open Mining Format package_ (omf) providing Python 3D visualization and useable mesh data structures for processing datasets in the OMF specification.
pose-residual-network-pytorch-README.md,Yi Xie,Data Analysis,This repository contains a PyTorch implementation of the Pose Residual Network (PRN) presented in our ECCV 2018 paper:
puppeteer-README.md,Yi Xie,Data Preparation,"Most things that you can do manually in the browser can be done using Puppeteer! Here are a few examples to get you started: Generate screenshots and PDFs of pages. Crawl a SPA (Single-Page Application) and generate pre-rendered content (i.e. ""SSR"" (Server-Side Rendering)). Automate form submission, UI testing, keyboard input, etc. Create an up-to-date, automated testing environment. Run your tests directly in the latest version of Chrome using the latest JavaScript and browser features. Capture a timeline trace of your site to help diagnose performance issues. Test Chrome Extensions."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/sentinelsat-README.md,Yidan Zhang,Data Preparation,"Sentinelsat makes searching, downloading and retrieving the metadata of Sentinel <http://www.esa.int/Our_Activities/Observing_the_Earth/Copernicus/Overview4>_ satellite images from the Copernicus Open Access Hub <https://scihub.copernicus.eu/>_ easy."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/sequelize-sequelize-README.md,Yidan Zhang,Data Preparation,"It features solid transaction support, relations, eager and lazy loading, read replication and more."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/sg2im-README.md,Yidan Zhang,Data Visualization,Below we show some example scene graphs along with images generated from those scene graphs using our model. By modifying the input scene graph we can exercise fine-grained control over the objects in the generated image.
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/tensorflow-README.md,Yidan Zhang,Data Analysis,TensorFlow is an open source software library for numerical computation using data flow graphs.
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/tensorflow-magenta-README.md,Yidan Zhang,Data Analysis,"Magenta is a research project exploring the role of machine learning in the process of creating art and music. Primarily this involves developing new deep learning and reinforcement learning algorithms for generating songs, images, drawings, and other materials. But it's also an exploration in building smart tools and interfaces that allow artists and musicians to extend (not replace!) "
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/tetgen-README.md,Yidan Zhang,Data Visualization,"TetGen generates exact constrained Delaunay tetrahedralization, boundary
conforming Delaunay meshes, and Voronoi partitions.

TetGen provides various features to generate good quality and adaptive
tetrahedral meshes suitable for numerical methods, such as finite element or
finite volume methods."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/tilelive-mapnik-README.md,Yidan Zhang,Data Preparation,Renderer backend for tilelive.js that uses node-mapnik to render tiles and grids from a Mapnik XML file. 
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/tilematrix-README.md,Yidan Zhang,Data Preparation,"The module is designed to translate between tile indices (zoom, row, column) and map coordinates (e.g. latitute, longitude).

Tilematrix supports metatiling and tile buffers."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/tippecanoe-README.md,Yidan Zhang,Data Visualization,"Builds vector tilesets from large (or small) collections of GeoJSON, Geobuf, or CSV features, like these. "
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/two-stream-dyntex-synth-README.md,Yidan Zhang,Data Visualization,Dynamic texture synthesis?
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/vid2vid-README.md,Yidan Zhang,Data Analysis,"Pytorch implementation for high-resolution (e.g., 2048x1024) photorealistic video-to-video translation. It can be used for turning semantic label maps into photo-realistic videos, synthesizing people talking from edge maps, or generating human motions from poses."
https://github.com/KnowledgeCaptureAndDiscovery/somef/blob/master/experiments/training_corpus/repos/sentinelsat-README.md,Yidan Zhang,Data Preparation,"Vue (pronounced /vjuː/, like view) is a progressive framework for building user interfaces. It is designed from the ground up to be incrementally adoptable, and can easily scale between a library and a framework depending on different use cases."
https://github.com/RaRe-Technologies/gensim,Pratheek,Data Analysis,"Gensim is a Python library for topic modelling, document indexing and similarity retrieval with large corpora

"
https://github.com/stanfordnlp/stanza,Pratheek,Data Analysis,It contains support for running various accurate natural language processing tools on 60+ languages and for accessing the Java Stanford CoreNLP software from Python
https://github.com/unagiootoro/ruby-dnn,Sharad,Data Analysis,This library supports full connected neural network and convolution neural network and recurrent neural network.
https://github.com/ankane/lightgbm,Sharad,Data Analysis,high performance gradient boosting - for Ruby
https://github.com/SteelBridgeLabs/neo4j-gremlin-bolt,Sharad,Data Preparation,This project allows the use of the Apache Tinkerpop Java API with the neo4j server using the BOLT protocol.
https://github.com/LaurentRDC/scikit-ued,Sharad,Data Preparation,It aims to be a fully-tested package taking advantage of Python's most recent features.
https://github.com/treeverse/lakeFS,Sharad,Data Analysis,"lakeFS is an open source layer that delivers resilience and manageability to object-storage based data lakes.
With lakeFS you can build repeatable, atomic and versioned data lake operations - from complex ETL jobs to data science and analytics."
https://github.com/facebookresearch/pytext,Pratheek,Data Analysis,PyText addresses the often-conflicting requirements of enabling rapid experimentation and of serving models at scale
https://github.com/NicolasHug/Surprise,Pratheek,Data Analysis,Surprise is a Python scikit for building and analyzing recommender systems that deal with explicit rating data.
https://github.com/amitt001/delegator.py,Pratheek,Data Analysis,Delegator.py is a simple library for dealing with subprocesses
https://github.com/simbody/simbody,Yidan Zhang,Data Visualization,"Wide variety of joint, constraint, and force types; easily user-extended.
Forward, inverse, and mixed dynamics. Motion driven by forces or prescribed motion.
Contact (Hertz, Hunt and Crossley models).
Gradient descent, interior point, and global (CMA) optimizers.
A variety of numerical integrators with error control.
Visualizer, using OpenGL"
https://github.com/cyverse/atmosphere,Yidan Zhang,Data Preparation,"Atmosphere is an integrative, private, self-service cloud computing platform designed to provide easy access to preconfigured, frequently used analysis routines, relevant algorithms, and data sets in an available-on-demand environment designed to accommodate computationally and data-intensive bioinformatics tasks.
A powerful web client for management and administration of virtual machines
A fully RESTful API service for integrating with existing infrastructure components
Virtual machine images preconfigured for computational science and iPlant's infrastructure"
https://github.com/darwinlau/CASPR,Yidan Zhang,Data Analysis,"The ability to use the extensive libraries and models of CASPR from the community for your research.
The ability to easily and efficiently add, test and validate your algorithms and models.
The ability to share your research to the community."
https://github.com/microsoft/tensorwatch,Yidan Zhang,Data Visualization,"It works in Jupyter Notebook to show real-time visualizations of your machine learning training and perform several other key analysis tasks for your models and data.
TensorWatch is designed to be flexible and extensible so you can also build your own custom visualizations, UIs, and dashboards. Besides traditional ""what-you-see-is-what-you-log"" approach, it also has a unique capability to execute arbitrary queries against your live ML training process, return a stream as a result of the query and view this stream using your choice of a visualizer (we call this Lazy Logging Mode)."
https://github.com/CMU-Perceptual-Computing-Lab/openpose,Ling Li,Data Analysis,"2D real-time multi-person keypoint detection:
3D real-time single-person keypoint detection
Calibration toolbox
Single-person tracking for further speed up or visual smoothing."
https://github.com/airbnb/airpal,Yi Xie,Data Visualization,"Airpal is a web-based, query execution tool which leverages Facebook's PrestoDB to make authoring queries and retrieving results simple for users. Airpal provides the ability to find tables, see metadata, browse sample rows, write and edit queries, then submit queries all in a web interface. Once queries are running, users can track query progress and when finished, get the results back through the browser as a CSV (download it or share it with friends). The results of a query can be used to generate a new Hive table for subsequent analysis, and Airpal maintains a searchable history of all queries run within the tool."
https://github.com/HumbleSoftware/envisionjs,Yi Xie,Data Visualization,Fast interactive HTML5 charts.
https://github.com/apache/incubator-echarts,Yi Xie,Data Visualization,"Apache ECharts (incubating) is a free, powerful charting and visualization library offering an easy way of adding intuitive, interactive, and highly customizable charts to your commercial products."
https://github.com/vega/vega,Yi Xie,Data Visualization,"Vega is a visualization grammar, a declarative format for creating, saving, and sharing interactive visualization designs. With Vega you can describe data visualizations in a JSON format, and generate interactive views using either HTML5 Canvas or SVG."
